Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Diplodium,abruptum,,10,15,,150,450,,NA,NA,,3.9,4,4,13,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,aestivum,,10,15,,100,350,,NA,NA,,3.9,4,4,15,19,,,,,,,,,,,,,,No_status,,,,
Diplodium,alatum,,3,12,,80,250,,NA,NA,,3.4,3.5,3.5,10,12,,,,,,,,,,,,,,No_status,,,,
Diplodium,alveatum,,5,15,,100,200,,NA,NA,,2.9,3,3,8,9.5,,,,,,,,,,,,,,No_status,,,,
Diplodium,angustum,,7,12,,80,200,,NA,NA,,1.9,2,2,13,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,aquilonium,,5,12,,150,200,,NA,NA,,1.9,2,2,11,13,,,,,,,,,,,,,,No_status,,,,
Diplodium,asperum,,4,17,,90,170,,NA,NA,,3.9,4,4,13,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,atrans,,10,20,,150,300,,NA,NA,,2.5,3,,9,10,,,,,,,,,,,,,,No_status,,,,
Diplodium,bryophilum,,5,15,,120,180,,NA,NA,,2.5,3,,9.5,11,,,,,,,,,,,,,,No_status,,,,
Diplodium,coccinum,,10,15,,80,220,,NA,NA,,3.5,4,,20,25,,,,,,,,,,,,,,No_status,,,,
Diplodium,decurvum,,10,20,,150,300,,NA,NA,,2.4,2.5,2.5,12.5,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,dolichochilum,,3,8,,50,150,,NA,NA,,3.5,4,,13,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,elegans,,8,13,,150,280,,NA,NA,,2,2.5,,8,11,,,,,,,,,,,,,,No_status,,,,
Diplodium,erythroconchum,,3,8,,60,150,,NA,NA,,3,3.5,,17,20,,,,,,,,,,,,,,No_status,,,,
Diplodium,fischii,,6,12,,150,250,,NA,NA,,3,4,,8,9,,,,,,,,,,,,,,No_status,,,,
Diplodium,grandiflorum,,3,10,,150,400,,NA,NA,,3,3.5,,17,20,,,,,,,,,,,,,,No_status,,,,
Diplodium,hamiltonii,,5,12,,50,150,,NA,NA,,3,3.5,,15,20,,,,,,,,,,,,,,No_status,,,,
Diplodium,hians,,9,13,,80,140,,NA,NA,,2.9,3,3,5,5.5,,,,,,,,,,,,,,No_status,,,,
Diplodium,laxum,,8,16,,200,400,,NA,NA,,3.9,4,4,10,13,,,,,,,,,,,,,,No_status,,,,
Diplodium,longicurvum,,5,15,,60,180,,NA,NA,,2.4,2.5,2.5,15,18,,,,,,,,,,,,,,No_status,,,,
Diplodium,longipetalum,,4,10,,100,160,,NA,NA,,3.4,3.5,3.5,13,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,metcalfei,,7,20,,100,300,,NA,NA,,3,3.5,,13.7,17,,,,,,,,,,,,,,No_status,,,,
Diplodium,obtusum,,10,15,,150,250,,NA,NA,,2.9,3,3,9,11,,,,,,,,,,,,,,No_status,,,,
Diplodium,pulchellum,,6,15,,60,150,,NA,NA,,3.9,4,4,16,18,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diplodium,reflexum,,6,12,,100,200,,NA,NA,,3.9,4,4,14,16,,,,,,,,,,,,,,No_status,,,,
Diplodium,revolutum,,4,16,,100,150,,NA,NA,,2.9,3,3,15,17,,,,,,,,,,,,,,No_status,,,,
Diplodium,robustum,,5,16,,50,200,,NA,NA,,3,4,,12,15,,,,,,,,,,,,,,No_status,,,,
Diplodium,rogersii,,4,12,,70,200,,NA,NA,,3,4,,15,20,,,,,,,,,,,,,,No_status,,,,
Diplodium,russellii,,10,20,,200,350,,NA,NA,,3,3.5,,11,14,,,,,,,,,,,,,,No_status,,,,
Diplodium,scabrum,,7,13,,80,150,,NA,NA,,3.9,4,4,20,25,,,,,,,,,,,,,,No_status,,,,
Diplodium,scoliosum,,6,14,,100,200,,NA,NA,,3,4,,11,13,,,,,,,,,,,,,,No_status,,,,
Diplodium,striatum,,3,9,,40,250,,NA,NA,,2.5,3,,7,9,,,,,,,,,,,,,,No_status,,,,
Diplodium,tenuissimum,,2,7,,100,300,,NA,NA,,1.9,2,2,6,8,,,,,,,,,,,,,,No_status,,,,
Diplodium,torquatum,,10,15,,100,200,,NA,NA,,2.4,2.5,2.5,8.5,10.5,,,,,,,,,,,,,,No_status,,,,
Diplodium,truncatum,,8,18,,50,150,,NA,NA,,3.5,4,,14,18,,,,,,,,,,,,,,No_status,,,,
Dipodium,atropurpureum,,NA,NA,,400,600,,5,5.5,,5,6.6,,13,14.5,,,,,,,,,,,,,,No_status,,,,
Dipodium,campanulatum,,NA,NA,,400,700,,3,5,,5,6,,12,16,,,,,,,,,,,,,,No_status,,,,
Dipodium,elegantulum,,NA,NA,,500,800,,3,4,,4,5,,14,20,,,,,,,,,,,,,,No_status,,,,
Dipodium,ensiflorum,,14.9,15,15,NA,NA,,5.9,6,6,5,6,,20,25,,,,,,,,,,,,,,No_status,,,,
Dipodium,hamiltonianum,,NA,NA,,400,800,,5,6,,4,5,,15,20,,,,,,,,,,,,,,No_status,,,,
Dipodium,pandanum,,30,45,,NA,NA,,5,7,,6,8,,15,20,,,,,,,,,,,,,,No_status,,,,
Dipodium,pardalinum,,NA,NA,,400,900,,3,5,,4.5,6,,11,17,,,,,,,,,,,,,,No_status,,,,
Dipodium,punctatum,,NA,NA,,400,1000,,4,5,,5,6,,12,16,,,,,,,,,,,,,,No_status,,,,
Dipodium,roseum,,NA,NA,,400,1000,,3,6,,4,6.5,,10,15,,,,,,,,,,,,,,No_status,,,,
Dipodium,stenochilum,,NA,NA,,400,1200,,4,6,,5,7,,15,20,,,,,,,,,,,,,,No_status,,,,
Dipodium,variegatum,,NA,NA,,300,600,,4.5,5,,3.5,4,,13,15,,,,,,,,,,,,,,No_status,,,,
Diteilis,collinsii,,40,50,,NA,NA,,3,3.5,,8,10,,10,13,,,,,,,,,,,,,,No_status,,,,
Diteilis,petricola,,40,60,,NA,NA,,2.5,3,,6,7,,8,9,,,,,,,,,,,,,,No_status,,,,
Diteilis,simmondsii,,40,60,,NA,NA,,2.5,3,,6,7,,8,9,,,,,,,,,,,,,,No_status,,,,
Diuris,abbreviata,,3,6,,200,450,,5,8,,NA,NA,,10,14,,,,,,,,,,,,,,No_status,,,,
Diuris,aequalis,,3,4,,200,350,,8,15,,NA,NA,,5,6,,,VU,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,alba,,2,3,,150,400,,6,9,,NA,NA,,10,14,,,,,,,,,,,,,,No_status,,,,
Diuris,amplissima,,20,25,,400,900,,16,23,,NA,NA,,12,16,,,,,,,,,,,,,,No_status,,,,
Diuris,arenaria,,2,6,,150,500,,7,11,,NA,NA,,10,14,,,,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,aurea,,4,8,,300,600,,10,14,,NA,NA,,12,16,,,,,,,,,,,,,,No_status,,,,
Diuris,basaltica,,1,2,,60,200,,6,8,,NA,NA,,10,15,,,,,,,,,,,,,,No_status,,,,
Diuris,bracteata,,6,10,,100,180,,5,6,,NA,NA,,5,7,,,EX,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,brumalis,,8,10,,200,500,,7,15,,NA,NA,,6,9,,,,,,,,,,,,,,No_status,,,,
Diuris,byronensis,,2,4,,100,300,,6,7,,NA,NA,,10,13,,,,,,,,,,,,,,No_status,,,,
Diuris,callitrophila,,5,9,,300,500,,8,12,,NA,NA,,10,15,,,,,,,,,,,,,,No_status,,,,
Diuris,carinata,,3,6,,20,30,,9,12,,NA,NA,,15,18,,,,,,,,,,,,,,No_status,,,,
Diuris,chrysantha,,4,8,,150,300,,6,7,,NA,NA,,7,9,,,,,,,,,,,,,,No_status,,,,
Diuris,concinna,,2,3,,20,25,,5,8.5,,NA,NA,,10,14,,,,,,,,,,,,,,No_status,,,,
Diuris,conspicillata,,5,12,,180,300,,10,12,,NA,NA,,7,12,,,,,,,,,,,,,,No_status,,,,
Diuris,corymbosa,,8,10,,150,400,,11,14,,NA,NA,,9,12,,,,,,,,,,,,,,No_status,,,,
Diuris,daltonii,,3,6,,300,500,,8,16,,NA,NA,,10,16,,,,,,,,,,,,,,No_status,,,,
Diuris,dendrobioides,,3,4,,200,400,,8,12,,NA,NA,,10,13,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,disposita,,4,5,,200,300,,4,7,,NA,NA,,7,9,,,,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,drummondii,,5,8,,500,1000,,9,12,,NA,NA,,17,22,,,VU,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Diuris,eborensis,,3,6,,150,350,,6,9,,NA,NA,,11,14,,,,,,,,,,,,,,No_status,,,,
Diuris,emarginata,,3,6,,300,500,,5,7,,NA,NA,,11,14,,,,,,,,,,,,,,No_status,,,,
Diuris,exitela,,8,12,,300,700,,5,7,,NA,NA,,10,15,,,,,,,,,,,,,,No_status,,,,
Diuris,filifolia,,1,2,,200,450,,7,8,,NA,NA,,10,12,,,,,,,,,,,,,,No_status,,,,
Diuris,flavescens,,3,4,,100,200,,4,5,,NA,NA,,6,8,,,,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,fragrantissima,,5,10,,100,200,,8,12,,NA,NA,,9,12,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,goonoensis,,3,5,,300,700,,9,12,,NA,NA,,10,14,,,,,,,,,,,,,,No_status,,,,
Diuris,gregaria,,1,2,,60,200,,6,8,,NA,NA,,10,15,,,,,,,,,,,,,,No_status,,,,
Diuris,herbelei,,2,3,,200,500,,7,9,,NA,NA,,12,18,,,,,,,,,,,,,,No_status,,,,
Diuris,laevis,,2,3,,200,350,,5,6,,NA,NA,,13,16,,,,,,,,,,,,,,No_status,,,,
Diuris,lanceolata,,1,3,,60,250,,7,13,,NA,NA,,14,22,,,EN,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,laxiflora,,2,3,,300,500,,5,7,,NA,NA,,8,11,,,,,,,,,,,,,,No_status,,,,
Diuris,longifolia,,8,10,,100,350,,10,12,,NA,NA,,6,9,,,,,,,,,,,,,,No_status,,,,
Diuris,luteola,,3,4,,120,450,,5,8,,NA,NA,,6,9,,,,,,,,,,,,,,No_status,,,,
Diuris,maculata,,3,4,,150,350,,5,7,,NA,NA,,4,6,,,,,,,,,,,,,,No_status,,,,
Diuris,magnifica,,18,24,,300,600,,10,16,,NA,NA,,13,18,,,,,,,,,,,,,,No_status,,,,
Diuris,micrantha,,2,3,,300,600,,2.5,3.5,,NA,NA,,5,7,,,VU,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Diuris,minor,,3,4,,200,450,,4.5,5.5,,NA,NA,,6.5,9,,,,,,,,,,,,,,No_status,,,,
Diuris,monticola,,3,4,,150,350,,7,9,,NA,NA,,12,17,,,,,,,,,,,,,,No_status,,,,
Diuris,ochroma,,3,5,,100,300,,7,9,,NA,NA,,13,16,,,VU,,,EN,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,oporina,,7,10,,200,450,,4.5,5,,NA,NA,,7,8,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,orientis,,5,10,,100,400,,9,15,,NA,NA,,10,14,,,,,,,,,,,,,,No_status,,,,
Diuris,palustris,,2,2,,50,150,,5,6,,NA,NA,,7,10,,,,,,,,TH,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,pardina,,3,6,,200,400,,10,13,,NA,NA,,5,7,,,,,,,,,,,,,,No_status,,,,
Diuris,parvipetala,,3,4,,200,450,,4.5,5.5,,NA,NA,,5,6.5,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,pauciflora,,3,5,,150,350,,5,6,,NA,NA,,9,12,,,,,,,,,,,,,,No_status,,,,
Diuris,pedunculata,,1,2,,60,150,,5,6,,NA,NA,,14,16,,,EN,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,picta,,2,4,,200,350,,9,11,,NA,NA,,15,18,,,,,,,,,,,,,,No_status,,,,
Diuris,platichila,,4,6,,300,500,,6,8,,NA,NA,,9,12,,,,,,,,,,,,,,No_status,,,,
Diuris,porrifolia,,8,13,,150,350,,8,10,,NA,NA,,6,8,,,,,,,,,,,,,,No_status,,,,
Diuris,praecox,,8,12,,200,400,,4.5,6,,NA,NA,,9,12,,,VU,,,VU,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,pulchella,,6,10,,300,500,,10,13,,NA,NA,,8,10,,,,,,,,,,,,,,No_status,,,,
Diuris,purdiei,,2,3,,150,350,,4,5,,NA,NA,,15,18,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Diuris,recurva,,5,8,,200,300,,7,10,,NA,NA,,6,7,,,,,,,,,,,,,,No_status,,,,
Diuris,secundiflora,,2.9,3,3,499.9,500,500,5.9,6,6,NA,NA,,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Diuris,semilunulata,,3,4,,200,350,,7,11,,NA,NA,,5,8,,,,,,,,,,,,,,No_status,,,,
Diuris,setacea,,1,2,,150,300,,7,8,,NA,NA,,12,14,,,,,,,,,,,,,,No_status,,,,
Diuris,tricolor,,3,4,,200,400,,6,9,,NA,NA,,8,12,,,,,,VU,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Diuris,venosa,,1,3,,100,400,,4,9,,NA,NA,,10,13,,,VU,,,VU,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Dockrillia,banksii,,0.1,0.2,,NA,NA,,3,4,,5,8,,14,18,,,,,,,,,,,,,,No_status,,,,
Dockrillia,bowmanii,,3.9,4,4,NA,NA,,4,5,,5.9,6,6,19.9,20,20,,,,,,,,,,,,,No_status,,,,
Dockrillia,brevicauda,,3.5,5,,NA,NA,,3,4,,6,7,,16,19,,,,,,,,,,,,,,No_status,,,,
Dockrillia,calamiformis,,4,8,,NA,NA,,2.9,3,3,4.9,5,5,19.9,20,20,,,,,,,,,,,,,No_status,,,,
Dockrillia,cucumerina,,9,12,,NA,NA,,2.9,3,3,4,5,,11,14,,,,,,,,,,,,,,No_status,,,,
Dockrillia,dolichophylla,,5,6,,NA,NA,,2.5,3.5,,4,4.5,,25,35,,,,,,,,,,,,,,No_status,,,,
Dockrillia,fairfaxii,,20,25,,NA,NA,,2.9,3,3,5.9,6,6,29.9,30,30,,,,,,,,,,,,,No_status,,,,
Dockrillia,linguiformis,linguiformis,12,15,,NA,NA,,3,4,,3.9,4,4,5,6,,,,,,,,,,,,,,No_status,,,,
Dockrillia,mortii,,2,4,,NA,NA,,2.4,2.5,2.5,5,6,,14,17,,,,,,,,,,,,,,No_status,,,,
Dockrillia,nugentii,,15,20,,NA,NA,,3,4,,2.9,3,3,4.4,4.5,4.5,,,,,,,,,,,,,No_status,,,,
Dockrillia,pugioniformis,,15,20,,NA,NA,,2.9,3,3,8.9,9,9,17.9,18,18,,,,,,,,,,,,,No_status,,,,
Dockrillia,racemosa,,8,12,,NA,NA,,1.9,2,2,5.9,6,6,19.9,20,20,,,,,,,,,,,,,No_status,,,,
Dockrillia,rigida,,14.9,15,15,NA,NA,,4.4,4.5,4.5,6.9,7,7,9.9,10,10,,,,,,,,,,,,,No_status,,,,
Dockrillia,schoenina,,8,12,,NA,NA,,3.4,3.5,3.5,9.9,10,10,29.9,30,30,,,,,,,,,,,,,No_status,,,,
Dockrillia,striolata,,3,4,,NA,NA,,2,3,,3,5,,9,12,,,,,,,,,,,,,,No_status,,,,
Dockrillia,sulphurea,,4,6,,NA,NA,,2.5,3.5,,6.9,7,7,19.9,20,20,,,,,,,,,,,,,No_status,,,,
Dockrillia,teretifolia,,4,6,,NA,NA,,2.5,3,,4.9,5,5,20,30,,,,,,,,,,,,,,No_status,,,,
Dockrillia,wassellii,,8,10,,NA,NA,,1.4,1.5,1.5,3.4,3.5,3.5,10,12,,,VU,,,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Drakea,concolor,,20,30,,200,300,,1.5,2,,3.5,4,,10,12,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Drakea,confluens,,10,20,,150,300,,1,1.5,,4,5,,8,11,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Drakea,elastica,,10,20,,120,300,,1.5,1.8,,3,4,,10,12,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Drakea,glyptodon,,5,15,,100,350,,1.9,2,2,3,5,,8,10,,,,,,,,,,,,,,No_status,,,,
Drakea,gracilis,,7,20,,100,250,,0.9,1,1,3,4,,7,9,,,,,,,,,,,,,,No_status,,,,
Drakea,isolata,,8,12,,100,300,,0.7,0.8,0.8,2.9,3,3,8,10,,,VU,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Drakea,livida,,10,20,,150,400,,2,2.5,,4,5,,10,12,,,,,,,,,,,,,,No_status,,,,
Drakea,micrantha,,4,8,,150,300,,0.4,0.5,0.5,2.9,3,3,5.5,7.5,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Drakea,thynniphila,,10,25,,250,400,,0.7,0.8,0.8,2.9,3,3,8,11,,,,,,,,,,,,,,No_status,,,,
Drakonorchis,barbarella,,3,6,,80,250,,1.5,2,,3,4,,5,6,,*abdomen falso,,,,,,,,,,,,No_status,,,,
Drakonorchis,barbarossa,,5,10,,100,300,,1.5,2,,2,5,,8,10,,*abdomen falso,,,,,,,,,,,,No_status,,,,
Drakonorchis,drakeoides,,4,12,,120,300,,1.4,1.5,,3,4,,5,6,,*abdomen falso,,,,,,,,,,,,No_status,,,,
Drakonorchis,mesocera,,4,10,,80,250,,2,3,,3,7,,10,15,,*abdomen falso,,,,,,,,,,,,No_status,,,,
Durabaculum,fuscum,,30,40,,NA,NA,,4,5,,10,14,,12,17,,,,,,,,,,,,,,No_status,,,,
Durabaculum,mirbelianum,,30,40,,NA,NA,,7,9,,19.9,20,20,29.9,30,30,,,,,,,,,,,,,No_status,,,,
Durabaculum,nindii,,60,80,,NA,NA,,8,12,,39.9,40,40,39.9,40,40,,,,,,,,,,,,,No_status,,,,
Durabaculum,undulatum,undulatum,35,50,,NA,NA,,5,7,,11,15,,17,24,,,,,,,,,,,,,,No_status,,,,
Elythranthera,brunonis,,5,7,,150,300,,6,8,,0.5,0.5,,4.9,5,5,,,,,,,,,,,,,No_status,,,,
Elythranthera,emarginata,,5,7,,120,250,,6,8,,1.5,1.5,,4,5,,,,,,,,,,,,,,No_status,,,,
Empusa,habenarina,,25,40,,200,600,,1.9,2,2,3,4,,4,5,,,,,,,,,,,,,,No_status,,,,
Epiblema,grandiflorum,var. grandiflorum,4,5,,300,800,,7,8,,10,12,,13,15,,,,,,,,,,,,,,No_status,,,,
Eremorchis,allantoidea,,3,10,,80,100,,NA,NA,,1.4,1.5,1.5,4,5,,,,,,,,,,,,,,No_status,,,,
Ericksonella,saccharata,,3,5,,50,150,,1.5,2,,5,7,,5,8,,,,,,,,,,,,,,No_status,,,,
Eriochilus,cucullatus,,7,12,,100,250,,2.4,2.5,2.5,2.9,3,3,6,8,,,,,,,,,,,,,,No_status,,,,
Eriochilus,dilatatus,dilatatus,4,15,,100,300,,2,2.5,,2,4,,8,10,,,,,,,,,,,,,,No_status,,,,
Eriochilus,helonomos,,5,12,,50,150,,2,3,,2.5,3,,6,8,,,,,,,,,,,,,,No_status,,,,
Eriochilus,multiflorus,,10,30,,200,450,,2.5,3.5,,2.5,4.5,,8,10,,,,,,,,,,,,,,No_status,,,,
Eriochilus,pulchellus,,3,8,,20,150,,2,3,,2.5,3,,7,9,,,,,,,,,,,,,,No_status,,,,
Eriochilus,scaber,scaber,5,15,,20,150,,2.5,3,,2.5,3,,6,8,,,,,,,,,,,,,,No_status,,,,
Eriochilus,tenius,,5,15,,10,250,,2,3,,2.5,3,,6,8,,,,,,,,,,,,,,No_status,,,,
Eriochilus,valens,,5,10,,50,150,,2,3,,3.5,4,,6,9,,,,,,,,,,,,,,No_status,,,,
Eulophia,agrostophylla,,10,14,,300,600,,2.4,2.5,2.5,9.9,10,10,12,16,,,,,,,,,,,,,,No_status,,,,
Eulophia,fitzalanii,,20,25,,250,400,,2.9,3,3,6,8,,14,17,,,,,,,,,,,,,,No_status,,,,
Eulophia,pelorica,,60,100,,300,800,,2.9,3,3,6,7,,10,12,,,,,,,,,,,,,,No_status,,,,
Eulophia,venosa,,20,25,,400,800,,4,4.5,,10,11,,11,15,,,,,,,,,,,,,,No_status,,,,
Eulophia,zollingeri,,NA,NA,,500,900,,11,14,,17,20,,18,22,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Glossodia,major,,15,20,,100,300,,6,8,,5,6.5,,7.5,9.5,,,,,,,,,,,,,,No_status,,,,
Glossodia,minor,,8,10,,80,150,,3,5,,2,3,,4,5,,,,,,,,,,,,,,No_status,,,,
Grastidium,baileyi,,7.9,8,8,NA,NA,,3.9,4,4,5.9,6,6,9.9,10,10,,,,,,,,,,,,,No_status,,,,
Grastidium,cancroides,,30,35,,NA,NA,,2.9,3,3,4.9,5,5,9.9,10,10,,,,,,,,,,,,,No_status,,,,
Grastidium,luteocilium,,40,45,,NA,NA,,5.9,6,6,7.9,8,8,8.9,9,9,,,,,,,,,,,,,No_status,,,,
Grastidium,tozorense,,6,8,,NA,NA,,1.9,2,2,3.9,4,4,7,10,,,,,,,,,,,,,,No_status,,,,
Habenaria,chlorosepala,,6,10,,200,530,,2.8,3.2,,8,10,,4.5,5,,,,,,,,,,,,,,No_status,,,,
Habenaria,elongata,,20,25,,300,600,,2.5,3,,NA,NA,,NA,NA,,,,,,,,,,,,,,No_status,,,,
Habenaria,euryloba,,8,11,,250,500,,2.7,3,,6,7.5,,6,7,,,,,,,,,,,,,,No_status,,,,
Habenaria,exilis,,3,5,,200,500,,2,2.5,,5.9,6,6,2.5,3,,,,,,,,,,,,,,No_status,,,,
Habenaria,ferdinandi,,3,5,,200,500,,2,2.5,,5.9,6,6,2.5,3,,,,,,,,,,,,,,No_status,,,,
Habenaria,fuscina,,12,16,,200,350,,3,3.5,,5,6,,6,7,,,,,,,,,,,,,,No_status,,,,
Habenaria,halata,,5,8,,300,500,,3,3.5,,9,11,,6,6.5,,,,,,,,,,,,,,No_status,,,,
Habenaria,harroldii,,7,16,,150,450,,4.5,5,,4,4.5,,8,10,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Habenaria,hymenophylla,,30,35,,250,400,,4.5,5,,NA,NA,,6,7,,,EN,,EN,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Habenaria,macraithii,,20,25,,300,600,,3.9,4,4,NA,NA,,18,22,,,,EN,,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Habenaria,propinquior,,8,15,,200,400,,4.4,4.5,4.5,NA,NA,,5,7.5,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Habenaria,rumphii,,15,20,,300,500,,2.9,3,3,5.9,6,6,6.5,7.5,,,,,,,,,RA,,,,,No_status,"Backhouse, G. (2007)",,,
Habenaria,xanthantha,,4,7,,150,350,,2.4,2.5,2.5,3,3.5,,5,7.5,,,,,,,,,,,,,,No_status,,,,
Hydrorchis,culpularis,,2.9,3,3,200,350,,1.4,1.5,1.5,1.4,1.5,1.5,1.6,1.7,,,,,,,,,,,,,,No_status,,,,
Hydrorchis,orbicularis,,2.9,3,3,150,300,,1.9,2,2,1.9,2,2,1.7,1.8,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Hymenochilus,bicolor,,8,12,,100,300,,NA,NA,,1.9,2,2,2.4,2.5,2.5,,,,,,,,,,,,,No_status,,,,
Hymenochilus,cycnocephalus,,8,15,,80,300,,NA,NA,,1.9,2,2,2.4,2.5,2.5,,,,,,,,,,,,,No_status,,,,
Hymenochilus,muticus,,6,15,,150,350,,NA,NA,,1.9,2,2,4,4.5,,,,,,,,,,,,,,No_status,,,,
Hymenochilus,pratensis,,14,22,,70,150,,NA,NA,,2.3,2.4,2.4,2.4,2.8,,,,,,,,,,,,,,No_status,,,,
Hymenochilus,rubenachii,,6,10,,30,80,,NA,NA,,2.1,2.2,2.2,2.5,2.8,,,,,,,,,,,,,,No_status,,,,
Hymenochilus,wapstrarum,,8,27,,80,220,,NA,NA,,2.2,2.3,2.3,2.7,3,,,,,,,,,,,,,,No_status,,,,
Hymenochilus,ziegeleri,,5,10,,50,100,,NA,NA,,1.9,2,2,2.4,2.5,2.5,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,abbreviata,,4,5,,200,350,,2,3,,7,9,,10,13,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,bicalliata,,2,5,,60,150,,1.5,2.5,,6,7,,6,8,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,brevisura,,4,8,,150,250,,1.5,2,,10,14,,9,11,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,caesarea,caesarea,2,4,,150,350,,2,3,,9,11,,12,16,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,cairsiana,,3,6,,150,300,,2,3,,9,12,,10,16,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,capillata,,3,6,,50,150,,2,2.5,,3.5,4.5,,4.5,6,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,chapmanii,,2,5,,200,450,,3,5,,12,15,,14,22,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,cristata,,3,4,,180,300,,1.5,2,,7,9,,6,8,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,denticulata,,2,4,,150,300,,2,3,,7,10,,15,18,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,dimidia,,2,7,,150,300,,2,3,,6,8,,7,11,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,dorrienii,,3,7,,100,200,,2.5,3,,7,10,,12,15,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,doutchiae,,3,8,,150,300,,2,2.5,,11,17,,8,12,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,dundasiae,,3,4,,150,350,,2,3,,4,6,,7,10,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,elegans,,3,7,,200,300,,2.5,3,,8,10,,12,15,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,erythrocila,,2,2,,200,250,,1.4,1.5,,2.5,3,,5.5,6,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,evanscens,,3,5,,200,350,,2,3,,NA,NA,,NA,NA,,*No medida labelo,,,,,,,,,,,,No_status,,,,
Jonesiopsis,exilis,exilis,4,7,,160,250,,2,2.5,,5,7,,8,12,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,filamentosa,,4,7,,300,450,,2.5,3,,3.5,5,,5.5,8,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,filifera,,2,4,,200,450,,2,3,,6,10,,10,15,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,flaccida,,4,6,,120,230,,1.5,2,,5.5,6.5,,7,10,,,,,,,,,,,,,,No_status,,,,
Jonesiopsis,footeana,,24,24,,60,220,,2,2.5,,6,8,,9,12,,,,,,,,,,,,,,No_status,,,,
