Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Arachnorchis,cardiochila,,3,5,,100,300,,2.9,3,,8,9,,9,11,,,,,,,,,EX,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,caudata,,7,10,,80,150,,2.4,2.5,2.5,8,10,,15,18,,,VU,,,,,,RA,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,christineae,,4,12,,250,400,,2,4,,2.5,3,,15,18,,,VU,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,citrina,,5,15,,250,450,,3,4,,10,14,,18,23,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,clavula,,15,20,,100,200,,3,4,,13,16.5,,13,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,concinna,,15,20,,100,300,,2,4,,11,13,,10,12,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,concolor,,8,10,,150,250,,2.5,3,,8,9,,11,13,,,VU,,,EN,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,corynephora,,10,15,,250,450,,3,5,,8,10,,13,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,crebra,,6,10,,250,500,,3,5,,10,12,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,cruciformis,,4,6,,150,250,,1.5,2,,5,6,,11,13,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,cruscula,,4,6,,180,250,,2,2.5,,7,11,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,decora,,6,10,,250,500,,3,6,,13,20,,20,28,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,dienema,,3,7,,50,160,,3,3.5,,7,11,,13,20,,,CR,,,,,,VU,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,dilatata,,6,8,,200,350,,2,2.5,,13,17,,13,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,discoidea,,8,12,,100,450,,2,4.5,,16,22,,10,13,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,drummondii,,12,15,,60,100,,1,1.5,,5,6,,8,10,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,echidnachila,,6,8,,250,400,,3,3,,6,9,,13,19,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,ensata,,10,20,,200,400,,2,2.5,,8,10,,12,14,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,ensigera,,4,14,,140,350,,3.5,4,,8,11,,13,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,excelsa,,6,12,,450,900,,3,5,,12,17,,25,35,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,exstans,,4,6,,200,450,,2.5,3,,14,15,,11,13,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,falcata,,5,15,,200,400,,3,4,,20,30,,15,24,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,ferruginea,,4,15,,200,600,,2,2.5,,10,13,,15,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,fitzgeraldii,,8,12,,120,250,,2,2.5,,8,11,,13,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,flavovirens,,10,20,,300,600,,4,4.5,,10,12,,15,23,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,flindersica,,6,14,,150,350,,3,4,,8,11,,16,19,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,fuliginosa,,5,10,,150,350,,3,4,,10,12,,16,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,fulva,,6,8,,120,250,,3.5,4.5,,10,12,,15,18,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,gardneri,,5,15,,100,250,,3,3.5,,7,10,,17,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,georgei,,5,12,,250,500,,2.5,3,,10,18,,12,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,graminifolia,,4,6,,150,350,,2,3,,14,18,,10,14,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,graniticola,,5,10,,150,300,,3,5,,6,9,,15,20,,,,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,granitora,,6,8,,200,350,,2,2.5,,11,13,,18,22,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,harringtoniae,,6,10,,200,400,,2,3,,7,12,,13,18,,,VU,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,hastata,,2,10,,250,350,,3,4,,10,12,,14,16,,Wikipedia,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,helvina,,5,20,,200,500,,3,4,,8,10,,15,19,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,herberleana,,5,15,,200,450,,2.5,3,,10,15,,17,26,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,hirta,hirta,5,20,,100,600,,2.5,3,,5,8,,10,20,,,,,,,,,,,,,,No_status,,,,
