mat,Lon,Lat,OrganismType,SpeciesAccepted,Authors,Journal,DOI_ISBN
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
