Capítulo,Archivo .qmd,#Fig,Línea,Tipo,Origen (en .qmd),Ruta en figuras_editor,Caption
05-Fecundidad,106-calcular_fecundidad.qmd,3,159,render_dual,images/fec-life-cycle-1.png,figuras_editor/05-Fecundidad/03_fec-life-cycle-1.png,
05-Fecundidad,106-calcular_fecundidad.qmd,4,193,render_dual,images/fec-matA-pl.png,figuras_editor/05-Fecundidad/04_fec-matA-pl.png,
05-Fecundidad,106-calcular_fecundidad.qmd,5,219,render_dual,images/fec-matA-pl2.png,figuras_editor/05-Fecundidad/05_fec-matA-pl2.png,
06-matU_matF_matC,107-matU_matF_matC.qmd,1,63,static,images/Matrices_A_U_F_C.jpg,figuras_editor/06-matU_matF_matC/01_Matrices_A_U_F_C.jpg,Relación entre matrices; Diseño: Samuel Gascoigne
06-matU_matF_matC,107-matU_matF_matC.qmd,2,86,render_dual,images/matU_matA1.png,figuras_editor/06-matU_matF_matC/02_matU_matA1.png,
06-matU_matF_matC,107-matU_matF_matC.qmd,3,117,render_dual,images/matU_matA2.png,figuras_editor/06-matU_matF_matC/03_matU_matA2.png,
07-Bayesian_PPM,108-Bayesian_PPM.qmd,1,171,render_dual,images/bayes2.png,figuras_editor/07-Bayesian_PPM/01_bayes2.png,
07-Bayesian_PPM,108-Bayesian_PPM.qmd,2,250,static,images/Lepanthes_eltoroensis_Edwin_Guevara.jpg,figuras_editor/07-Bayesian_PPM/02_Lepanthes_eltoroensis_Edwin_Guevara.jpg,*Lepanthes eltoroensis*. Foto: Edwin Guevara
07-Bayesian_PPM,108-Bayesian_PPM.qmd,3,252,static,images/Lepanthes_eltoroensis_Phorophyte_Edwin_Guevara.jpg,figuras_editor/07-Bayesian_PPM/03_Lepanthes_eltoroensis_Phorophyte_Edwin_Guevara.jpg,*Lepanthes eltoroensis*. Foto: Edwin Guevara
07-Bayesian_PPM,108-Bayesian_PPM.qmd,4,387,render_dual,images/bayes11.png,figuras_editor/07-Bayesian_PPM/04_bayes11.png,
07-Bayesian_PPM,108-Bayesian_PPM.qmd,5,549,dynamic,chunk 'bayes16',figuras_editor/07-Bayesian_PPM/05_bayes16-1.png,
07-Bayesian_PPM,108-Bayesian_PPM.qmd,6,640,dynamic,chunk 'bayes19',figuras_editor/07-Bayesian_PPM/06_bayes19-1.png,
08-Crecimiento_poblacional,109-Crecimiento_poblacional.qmd,1,76,render_dual,images/cre_pop_1_Laelia_p1.png,figuras_editor/08-Crecimiento_poblacional/01_cre_pop_1_Laelia_p1.png,
08-Crecimiento_poblacional,109-Crecimiento_poblacional.qmd,2,93,render_dual,images/cre_pop_1b_Laelia_p2.png,figuras_editor/08-Crecimiento_poblacional/02_cre_pop_1b_Laelia_p2.png,
08-Crecimiento_poblacional,109-Crecimiento_poblacional.qmd,3,161,dynamic,chunk 'cre-pop-projection-2',figuras_editor/08-Crecimiento_poblacional/03_cre-pop-projection-2-1.png,
08-Crecimiento_poblacional,109-Crecimiento_poblacional.qmd,4,180,dynamic,chunk 'cre-pop-projection-3',figuras_editor/08-Crecimiento_poblacional/04_cre-pop-projection-3-1.png,
